NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N8	4.89179e-07	3.46511e-08	1.48433e-06	2.44918e-07	0.0689573	2.0298e-05	1.46416e-07	3.11462e-08	2.19553e-09	0.927821	0.00319756	1.577e-06	2.03504e-08	2.99443e-09	1.39662e-10	2.35138e-14	5.35546e-17	2.97247e-18	9.83963e-21	1.78127e-22	2.14092e-27	3.59376e-30	1.60851e-34	1.93163e-36	9.99861e-39	4.15027e-44	1.31895e-47	1.28199e-49	5.01355e-52	1.74285e-54	1.4535e-59	7.71699e-64	9.56801e-68	1.75059e-68	1.64515e-69	7.42245e-72	9.85956e-75	2.85263e-75	6.94809e-77	1.27609e-77	
N9	1.88097e-10	2.78329e-13	5.75965e-14	5.79257e-18	5.16444e-05	2.04068e-10	2.92543e-14	3.9844e-18	3.35158e-22	0.999946	2.16081e-06	4.7907e-11	6.4038e-15	7.56083e-19	2.20472e-23	1.59549e-28	9.8778e-34	2.3478e-38	3.50138e-32	2.41171e-23	1.59676e-30	1.08981e-35	4.09167e-23	9.21679e-25	7.87601e-27	3.24702e-30	2.13759e-32	2.56696e-34	1.28725e-36	4.22541e-39	2.37592e-44	1.64413e-47	3.53042e-33	2.01512e-32	3.30246e-32	7.32049e-32	2.89801e-32	2.00593e-31	4.71853e-31	2.74812e-30	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	2.23566e-10	3.01388e-12	5.59679e-11	7.4296e-14	0.00113707	1.62169e-08	2.0606e-11	4.00825e-14	2.97506e-17	0.99883	3.28696e-05	1.74781e-09	2.38437e-12	3.09837e-15	1.16409e-18	2.8873e-23	1.65161e-27	1.81356e-30	3.15513e-32	2.56277e-33	1.81702e-37	3.49662e-39	5.73386e-39	4.02935e-40	1.31785e-41	4.62078e-45	1.04946e-46	7.79054e-48	2.73093e-49	8.13967e-51	5.47213e-55	2.43093e-57	5.81883e-60	2.75363e-61	4.38646e-63	3.34023e-65	5.31174e-68	2.93039e-69	3.54733e-71	1.40192e-72	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	5.43418e-13	4.26791e-16	1.15409e-14	3.45556e-17	0.000124074	6.39268e-11	2.15244e-15	4.14655e-18	2.38372e-20	0.999874	2.3015e-06	5.00506e-12	1.65491e-16	8.91999e-20	2.45822e-22	4.53384e-29	8.94074e-34	2.67951e-36	8.8774e-41	1.34113e-40	1.07495e-47	1.06801e-51	3.32994e-58	5.54779e-61	2.3331e-61	1.49722e-48	3.15655e-49	9.09379e-48	5.99612e-46	4.13308e-38	6.49051e-41	1.38625e-42	8.14057e-44	5.26129e-43	7.07518e-37	2.01081e-37	3.32457e-39	5.47454e-37	1.08278e-36	1.09521e-34	
N12	2.71939e-14	1.70638e-15	2.01112e-14	3.32182e-16	1.27388e-05	1.42147e-12	4.26713e-14	9.33008e-16	9.08922e-18	0.999987	2.1337e-07	5.31424e-14	1.73709e-16	3.11144e-18	1.64167e-20	7.15328e-25	8.64687e-29	5.8156e-31	6.06851e-30	1.0883e-18	2.19441e-25	9.73611e-28	1.39973e-30	1.21678e-31	2.16473e-33	2.30929e-39	2.70126e-42	3.28e-44	1.56042e-46	4.51685e-49	2.08979e-57	2.77501e-62	2.2726e-68	1.107e-70	3.67035e-74	1.56576e-77	1.90676e-83	4.90864e-86	2.75419e-90	3.45434e-93	
N13	7.94831e-17	1.26793e-18	4.66711e-18	6.12829e-21	1.18611e-07	4.47016e-14	1.75648e-16	3.1075e-19	3.55748e-22	1	1.75151e-09	5.80558e-16	9.50746e-20	2.10446e-22	3.76448e-26	3.82487e-30	5.55097e-35	2.30123e-37	9.83559e-31	1.42144e-18	1.22765e-25	1.13439e-27	4.34661e-28	1.76989e-28	2.82019e-29	1.95107e-32	6.62622e-34	1.72192e-34	2.18014e-35	1.68952e-36	2.12548e-44	3.10736e-46	1.41343e-50	3.19381e-51	9.42582e-54	1.06559e-54	4.6725e-58	3.88203e-59	1.14369e-61	3.59893e-63	
CENT26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	2.47399e-18	5.14231e-21	3.65616e-20	3.0136e-22	6.54429e-09	4.28763e-16	9.27598e-18	1.03265e-19	5.61102e-22	1	8.60189e-11	2.87208e-18	2.29927e-22	3.60748e-24	2.83844e-27	8.31234e-31	6.44233e-35	2.00929e-37	7.49828e-31	1.67532e-20	1.25171e-31	7.40401e-38	2.20994e-45	3.65909e-48	2.73059e-51	7.62351e-58	6.80975e-62	6.0365e-65	2.50032e-68	4.18769e-72	6.48212e-85	4.30992e-91	3.1056e-99	3.67072e-103	5.87903e-58	2.31866e-58	2.21926e-61	5.16913e-62	1.05257e-64	8.65368e-66	
CENT37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	9.61613e-16	7.09999e-18	1.36713e-15	1.10063e-17	1.12241e-05	2.96053e-13	2.34842e-15	2.78488e-17	1.41264e-19	0.999989	1.35234e-07	1.25295e-14	5.81631e-18	4.58931e-20	1.10277e-22	6.31186e-28	2.35902e-32	6.40835e-35	2.77867e-39	2.18958e-42	7.50839e-52	1.26158e-56	9.2117e-64	7.1653e-67	2.79358e-68	9.14376e-53	3.89114e-52	3.30858e-50	1.45331e-48	9.10215e-39	6.35249e-43	4.21871e-44	4.35324e-46	4.54407e-44	1.38739e-37	8.41728e-37	2.12252e-38	2.29863e-36	4.53306e-36	2.9135e-34	
N16	1.39407e-17	7.03396e-19	8.53432e-17	3.25438e-19	5.08479e-07	2.86331e-13	3.78164e-15	2.12293e-17	5.46129e-20	0.999999	3.9409e-09	1.72883e-15	8.3246e-19	4.53213e-21	2.58136e-24	4.04044e-28	1.03936e-32	1.75355e-35	8.92172e-38	1.81654e-38	1.13938e-46	1.01599e-48	1.24895e-49	2.40562e-50	2.1177e-51	4.16584e-55	6.70803e-57	1.24243e-57	1.12345e-58	7.26489e-60	5.66549e-68	6.14787e-70	1.57813e-74	3.74529e-75	1.20637e-77	1.38511e-78	1.06095e-82	1.3316e-83	4.51253e-86	3.01126e-87	
CENT5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	1.31011e-20	3.91067e-22	1.12949e-19	3.62762e-22	2.15214e-08	1.89202e-15	2.14191e-17	1.02372e-19	3.61732e-22	1	1.03682e-10	6.64414e-18	5.6752e-22	2.9563e-24	8.40276e-28	6.64149e-32	4.35336e-35	3.38907e-35	3.39674e-37	9.99125e-38	2.54088e-47	1.40649e-49	4.38036e-54	1.07787e-54	1.17106e-55	9.49479e-60	7.56227e-62	1.44212e-62	1.19981e-63	6.35063e-65	1.0357e-74	3.75038e-77	7.1716e-83	4.30015e-84	1.59138e-39	2.40674e-37	4.13929e-39	6.58572e-37	1.29451e-36	1.19742e-34	
N18	3.07385e-22	3.76853e-23	1.80464e-20	2.34765e-22	2.97989e-09	5.18481e-16	2.62145e-17	5.01824e-19	4.23426e-21	1	9.71671e-12	6.36125e-19	9.82151e-23	3.40025e-24	1.74183e-27	1.75996e-30	4.01057e-35	1.78578e-37	4.85257e-42	6.23615e-45	1.49246e-58	1.53944e-63	3.53354e-71	2.36175e-74	6.12118e-78	1.10778e-84	8.86854e-90	3.02691e-93	3.40827e-97	2.04682e-101	7.6236e-116	3.21296e-121	6.34317e-131	1.27886e-135	1.04795e-40	3.9176e-38	3.24157e-40	1.07452e-37	2.10558e-37	3.58031e-35	
CENT14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT34	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT33	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N19	9.71957e-19	2.08544e-20	3.08113e-18	5.11024e-21	2.31161e-07	1.48763e-14	8.64171e-17	2.13071e-19	2.53767e-22	1	1.77861e-09	7.61408e-17	2.09177e-20	4.34399e-23	1.38905e-26	3.65584e-31	2.85654e-36	1.83715e-39	8.56373e-41	1.2193e-37	1.32351e-44	7.53019e-45	2.85734e-40	1.49978e-38	3.91674e-37	7.83361e-39	3.47401e-38	2.34937e-36	8.26454e-35	2.21219e-33	7.62437e-39	1.32192e-38	1.11565e-40	1.38966e-38	2.69179e-38	1.39924e-36	4.43088e-38	3.81529e-36	7.53805e-36	3.87514e-34	
N20	1.59112e-21	4.78474e-23	1.58795e-20	3.86295e-23	7.18146e-09	6.78233e-16	6.02133e-18	2.18205e-20	4.30894e-23	1	3.31974e-11	1.48432e-18	9.83374e-23	4.43821e-25	8.88015e-28	6.81745e-31	1.5365e-35	3.63172e-37	4.25198e-39	3.26061e-38	1.0271e-45	1.7317e-45	1.55056e-42	1.56083e-40	7.70486e-39	5.55396e-40	2.50148e-39	3.25805e-37	2.16581e-35	1.09526e-33	9.77693e-41	9.38491e-40	3.66404e-42	9.53786e-40	1.09029e-39	1.92471e-37	3.15856e-39	5.26778e-37	1.03517e-36	1.0029e-34	
N21	3.25778e-22	6.3647e-23	2.3584e-20	3.38084e-22	1.07685e-09	3.51779e-15	1.78452e-16	3.76771e-18	3.42824e-20	1	3.38991e-12	6.30412e-18	1.2213e-21	4.40557e-23	6.18663e-27	3.59473e-29	1.18597e-33	5.82832e-36	2.27562e-40	3.21811e-43	2.70411e-57	4.01208e-62	2.58011e-69	1.99998e-72	5.03116e-76	1.33123e-81	1.53548e-86	5.16272e-90	6.44604e-94	4.27694e-98	8.13925e-113	3.55467e-117	1.7816e-126	2.99879e-131	3.49338e-40	9.44598e-38	1.15019e-39	2.58816e-37	5.07849e-37	6.60962e-35	
CENT16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
