#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 1.84234e-07
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N4: 0.993771
CENT75: 0.977261
CENT72: 1.70324
Total number of loss events: 3.74119
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.939127
CENT25: 1.00016
CENT74: 1.00005
CENT26: 1
CENT41: 1
CENT59: 1.00001
CENT46: 1
N25: 0.975699
Total number of duplication events: 8.73432
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.140016
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
CENT44: 1.00007
CENT75: 0.977057
CENT25: 1
CENT72: 1.17546
CENT74: 1
CENT26: 1
CENT41: 1
CENT59: 1
CENT28: 1.03226
CENT46: 1
N25: 0.975698
Total number of transitions in base number: 11.2476
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
CENT34	0	9.71723e-12	2.97989e-09	0	3.07385e-22
CENT33	0	1.03684e-10	2.15214e-08	0	1.31011e-20
N19	1.93426e-22	1.33456e-07	1.09929e-05	7.09029e-35	9.6181e-16
N20	6.97572e-26	1.74543e-09	2.2398e-07	3.16548e-35	9.72934e-19
N21	1.55278e-27	2.98152e-11	6.10464e-09	8.70277e-55	3.06483e-22
CENT16	0	3.39344e-12	1.07685e-09	0	3.25778e-22
CENT6	0	3.39344e-12	1.07685e-09	0	3.25778e-22
N22	1.28958e-27	3.15798e-11	6.65245e-09	8.60485e-52	2.40093e-18
CENT28	0	1.64665e-12	0.0322581	0.0322581	1.03226
CENT36	0	1.65417e-12	5.29129e-10	0	6.7069e-22
N23	1.17149e-24	1.75582e-09	2.27759e-07	9.42848e-40	1.28797e-18
N24	6.11208e-26	2.1143e-11	3.12448e-09	4.46288e-67	7.96254e-21
CENT9	0	1.66825e-12	2.77771e-10	0	4.96129e-21
CENT46	0	1.66774e-12	1	0	1
N25	3.89115e-27	2.26857e-11	0.975699	7.00389e-52	0.975698
CENT3	0	1.28153e-13	0.0243015	0	0.0243015
CENT23	0	1.28153e-13	0.0243015	0	0.0243015
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
CENT22	4.44527e-08	1.00607	0.106468	1.58507e-37	2.66643e-06
CENT44	4.44528e-08	1.0451	1.06744	2.34564e-20	1.02531
CENT53	4.44528e-08	1.04446	1.06807	2.34564e-20	0.0384023
CENT75	4.44528e-08	2.02105	1.04559	2.34564e-20	0.992078
CENT25	4.49896e-08	0.00612176	1.10647	1.58507e-37	1
CENT29	4.49896e-08	0.00612177	0.106472	1.58507e-37	2.6737e-06
CENT72	9.14362e-08	1.70914	0.498271	0.107757	1.17546
CENT17	6.69585e-08	0.0060204	0.106455	2.96965e-31	2.43516e-06
CENT74	6.69585e-08	0.0060204	1.10645	2.96965e-31	1
CENT32	6.83873e-08	0.00602185	0.106456	2.26032e-48	2.35888e-06
CENT26	6.8384e-08	0.00602185	1.10646	6.42037e-36	1
CENT37	6.8384e-08	0.00602185	0.106456	6.42037e-36	2.35887e-06
CENT41	6.8384e-08	0.00602185	1.10646	6.42037e-36	1
CENT59	6.8384e-08	0.00602186	1.10646	1.27513e-39	1
CENT5	6.8384e-08	0.00602185	0.106456	1.56638e-39	2.35887e-06
CENT14	6.8384e-08	0.00602185	0.106456	1.56638e-39	2.35887e-06
CENT34	6.8384e-08	0.00602185	0.106456	1.56638e-39	2.35887e-06
CENT33	6.8384e-08	0.00602185	0.106456	1.56638e-39	2.35887e-06
CENT16	6.8384e-08	0.00602185	0.106456	1.02559e-34	2.35887e-06
CENT6	6.8384e-08	0.00602185	0.106456	1.02559e-34	2.35887e-06
CENT28	6.8384e-08	0.00602185	0.138714	0.0322581	1.03226
CENT36	6.8384e-08	0.00602185	0.106456	1.02559e-34	2.35887e-06
CENT9	6.8384e-08	0.00602185	0.106456	7.09054e-35	2.35887e-06
CENT46	6.8384e-08	0.00602185	1.10646	7.09054e-35	1
CENT3	6.8384e-08	0.00602185	1.10646	7.09054e-35	1
CENT23	6.8384e-08	0.00602185	1.10646	7.09054e-35	1
