"","Ale_1","Ale_2","Zub_10","Beij_2_1","F15_1","Tinasu_2","Cal1_Chile","F16_2","SUI3_1","Can_3","IT5_1","Chin_1_2","Chin_2_2_HaploIV","Tinasu_1","F_21_1","Azo_3","F5_1","IT9_2","F5_2","IT_4_3","F8_1","Mar3","Aus_1","ES1_2","Kwa_3","S_Afr_1","Aus_2","Kal_2","Kal_3","ES_4_2","ES_4_3","POR_3_3","Kwa_1","Hin_3","Boy_1","Ecu_1","Mx-4","Mx-7","Mx_Va_2","Mx-6","Mx_Va_1","Mx-5","Out_1","Out_3","Per2_2_HaploV","Mx-10","Mx-8","Mx_8_2e_individu","Mx-3","Mx_Mac_2","Mx-12","Mx-13","Mx-14","Mx-11","Teo-4","Mx-17","Mx-21","Mx-20","Mx-22","Mx_23_c","Mx_Ro_1","Mx_Ro_2","Mx-2","Mx-15","Mx-16","Mx-9","Lim_1","Lim_2","PORcol4_3","Bra_1","Car_8","ES_8_1","SUI1_1","EScol7_10","EScol1_1","ES6_1","IT18_2","EScol2_2","EScol8_1","EScol8_2","EScol9_1","IT16_2","Port4_2","F20_1","Beij_1_2","F15_2"
"ES_4_2",0.0420019065,0.0432428832,0.0438981432,0.043931899,0.0441295625,0.0432431001,0.0441808971,0.0440763421,0.0462073814,0.0425255756,0.0445841972,0.0423032102,0.0426684659,0.0471499661,0.0419642607,0.0433436291,0.0436325922,0.0481833604,0.0423662264,0.0410245406,0.0479626293,0.0414964383,0.0503204803,0.0609178073,0.055834045,0.0596826575,0.040951583,0.029835105,0.0303617856,0,0.0022256099,0.026818086,0.0332846759,0.0363905641,0.0954665876,0.2679543559,0.271731278,0.2862494916,0.2759743294,0.291079699,0.274490401,0.2655112198,1.4910860696,1.4941021228,1.4964766015,0.1852287576,0.1834553924,0.1843913531,0.2195705645,0.2475671566,0.2341267934,0.1980357345,0.2011502668,0.1842438958,0.1978301067,0.1943842556,0.1928284654,0.1996342414,0.198456774,0.178910553,0.1591216261,0.1454359993,0.1383661591,0.1162134783,0.1156047815,0.124962562,0.1033785617,0.1035303488,0.0439439054,0.0491981537,0.0585446808,0.0612031371,0.0581756306,0.0628456301,0.0582472691,0.057966474,0.0478068768,0.0543331807,0.0650380476,0.0662601936,0.0536872432,0.0725337067,0.0658200996,0.0530141187,0.0460384358,0.0435665823
"ES_4_3",0.0420827868,0.0433237635,0.0439790235,0.0440127793,0.0442104428,0.0433239804,0.0442617774,0.0441572224,0.0462882617,0.0426064559,0.0446650775,0.0423840905,0.0427493462,0.0472308464,0.042045141,0.0434245094,0.0437134725,0.0482642407,0.0424471067,0.0411054209,0.0480435096,0.0415773186,0.0504013606,0.0609986876,0.0559149253,0.0597635378,0.0410324633,0.0299159853,0.0304426659,0.0022256099,0,0.0268989663,0.0333655562,0.0364714444,0.0955474679,0.2680352362,0.2718121583,0.2863303719,0.2760552097,0.2911605793,0.2745712813,0.2655921001,1.4911669499,1.4941830031,1.4965574818,0.1853096379,0.1835362727,0.1844722334,0.2196514448,0.2476480369,0.2342076737,0.1981166148,0.2012311471,0.1843247761,0.197910987,0.1944651359,0.1929093457,0.1997151217,0.1985376543,0.1789914333,0.1592025064,0.1455168796,0.1384470394,0.1162943586,0.1156856618,0.1250434423,0.103459442,0.1036112291,0.0440247857,0.049279034,0.0586255611,0.0612840174,0.0582565109,0.0629265104,0.0583281494,0.0580473543,0.0478877571,0.054414061,0.0651189279,0.0663410739,0.0537681235,0.072614587,0.0659009799,0.053094999,0.0461193161,0.0436474626
"POR_3_3",0.0283456429,0.0295866196,0.0302418796,0.0302756354,0.0304732989,0.0295868365,0.0305246335,0.0304200785,0.0325511178,0.028869312,0.0309279336,0.0286469466,0.0290122023,0.0334937025,0.0283079971,0.0296873655,0.0299763286,0.0345270968,0.0287099628,0.027368277,0.0343063657,0.0278401747,0.0471502695,0.0577475965,0.0526638342,0.0565124467,0.0377813722,0.0266648942,0.0271915748,0.026818086,0.0268989663,0,0.0196284123,0.0227343005,0.081810324,0.2542980923,0.2580750144,0.272593228,0.2623180658,0.2774234354,0.2608341374,0.2518549562,1.477429806,1.4804458592,1.4828203379,0.171572494,0.1697991288,0.1707350895,0.2059143009,0.233910893,0.2204705298,0.1843794709,0.1874940032,0.1705876322,0.1841738431,0.180727992,0.1791722018,0.1859779778,0.1848005104,0.1652542894,0.1454653625,0.1317797357,0.1247098955,0.1025572147,0.1019485179,0.1113062984,0.0897222981,0.0898740852,0.0302876418,0.0355418901,0.0448884172,0.0475468735,0.044519367,0.0491893665,0.0445910055,0.0443102104,0.0341506132,0.0406769171,0.051381784,0.05260393,0.0400309796,0.0588774431,0.052163836,0.0393578551,0.0323821722,0.0299103187
"Kwa_1",0.0269251598,0.0281661365,0.0288213965,0.0288551523,0.0290528158,0.0281663534,0.0291041504,0.0289995954,0.0311306347,0.0274488289,0.0295074505,0.0272264635,0.0275917192,0.0320732194,0.026887514,0.0282668824,0.0285558455,0.0331066137,0.0272894797,0.0259477939,0.0328858826,0.0264196916,0.0536168594,0.0642141864,0.0591304241,0.0629790366,0.0442479621,0.0331314841,0.0336581647,0.0332846759,0.0333655562,0.0196284123,0,0.0213138174,0.0803898409,0.2528776092,0.2566545313,0.2711727449,0.2608975827,0.2760029523,0.2594136543,0.2504344731,1.4760093229,1.4790253761,1.4813998548,0.1701520109,0.1683786457,0.1693146064,0.2044938178,0.2324904099,0.2190500467,0.1829589878,0.1860735201,0.1691671491,0.18275336,0.1793075089,0.1777517187,0.1845574947,0.1833800273,0.1638338063,0.1440448794,0.1303592526,0.1232894124,0.1011367316,0.1005280348,0.1098858153,0.088301815,0.0884536021,0.0288671587,0.034121407,0.0434679341,0.0461263904,0.0430988839,0.0477688834,0.0431705224,0.0428897273,0.0327301301,0.039256434,0.0499613009,0.0511834469,0.0386104965,0.05745696,0.0507433529,0.037937372,0.0309616891,0.0284898356
"Hin_3",0.023180032,0.0244210087,0.0250762687,0.0251100245,0.025307688,0.0244212256,0.0253590226,0.0252544676,0.0273855069,0.0237037011,0.0257623227,0.0234813357,0.0238465914,0.0283280916,0.0231423862,0.0245217546,0.0248107177,0.0293614859,0.0235443519,0.0222026661,0.0291407548,0.0226745638,0.0567227476,0.0673200746,0.0622363123,0.0660849248,0.0473538503,0.0362373723,0.0367640529,0.0363905641,0.0364714444,0.0227343005,0.0213138174,0,0.0766447131,0.2491324814,0.2529094035,0.2674276171,0.2571524549,0.2722578245,0.2556685265,0.2466893453,1.4722641951,1.4752802483,1.477654727,0.1664068831,0.1646335179,0.1655694786,0.20074869,0.2287452821,0.2153049189,0.17921386,0.1823283923,0.1654220213,0.1790082322,0.1755623811,0.1740065909,0.1808123669,0.1796348995,0.1600886785,0.1402997516,0.1266141248,0.1195442846,0.0973916038,0.096782907,0.1061406875,0.0845566872,0.0847084743,0.0251220309,0.0303762792,0.0397228063,0.0423812626,0.0393537561,0.0440237556,0.0394253946,0.0391445995,0.0289850023,0.0355113062,0.0462161731,0.0474383191,0.0348653687,0.0537118322,0.0469982251,0.0341922442,0.0272165613,0.0247447078
"Boy_1",0.0767953543,0.078036331,0.078691591,0.0787253468,0.0789230103,0.0780365479,0.0789743449,0.0788697899,0.0810008292,0.0773190234,0.079377645,0.077096658,0.0774619137,0.0819434139,0.0767577085,0.0781370769,0.07842604,0.0829768082,0.0771596742,0.0758179884,0.0827560771,0.0762898861,0.1157987711,0.1263960981,0.1213123358,0.1251609483,0.1064298738,0.0953133958,0.0958400764,0.0954665876,0.0955474679,0.081810324,0.0803898409,0.0766447131,0,0.2232164155,0.2269933376,0.2415115512,0.231236389,0.2463417586,0.2297524606,0.2207732794,1.4463481292,1.4493641824,1.4517386611,0.1404908172,0.138717452,0.1396534127,0.1748326241,0.2028292162,0.189388853,0.1532977941,0.1564123264,0.1395059554,0.1530921663,0.1496463152,0.148090525,0.154896301,0.1537188336,0.1341726126,0.1143836857,0.1006980589,0.0936282187,0.0714755379,0.0708668411,0.0802246216,0.0988222999,0.098974087,0.0642542858,0.0772122269,0.086558754,0.0892172103,0.0861897038,0.0908597033,0.0862613423,0.0859805472,0.0826003246,0.0891266285,0.0998314954,0.1010536414,0.088480691,0.1073271545,0.1006135474,0.0878075665,0.0808318836,0.0783600301
"Ecu_1",0.2492831226,0.2505240993,0.2511793593,0.2512131151,0.2514107786,0.2505243162,0.2514621132,0.2513575582,0.2534885975,0.2498067917,0.2518654133,0.2495844263,0.249949682,0.2544311822,0.2492454768,0.2506248452,0.2509138083,0.2554645765,0.2496474425,0.2483057567,0.2552438454,0.2487776544,0.2882865394,0.2988838664,0.2938001041,0.2976487166,0.2789176421,0.2678011641,0.2683278447,0.2679543559,0.2680352362,0.2542980923,0.2528776092,0.2491324814,0.2232164155,0,0.0491626993,0.0636809129,0.0534057507,0.0685111203,0.0519218223,0.0617423619,1.3318909141,1.3349069673,1.337281446,0.1032507271,0.1014773619,0.1024133226,0.137592534,0.1655891261,0.1521487629,0.116057704,0.1191722363,0.1139505171,0.127536728,0.1549950209,0.1534392307,0.1602450067,0.1590675393,0.1395213183,0.1507554706,0.1629877556,0.1915430652,0.2160673992,0.2154587024,0.2248164829,0.2713100682,0.2714618553,0.2367420541,0.2496999952,0.2590465223,0.2617049786,0.2586774721,0.2633474716,0.2587491106,0.2584683155,0.2550880929,0.2616143968,0.2723192637,0.2735414097,0.2609684593,0.2798149228,0.2731013157,0.2602953348,0.2533196519,0.2508477984
"Mx-4",0.2530600447,0.2543010214,0.2549562814,0.2549900372,0.2551877007,0.2543012383,0.2552390353,0.2551344803,0.2572655196,0.2535837138,0.2556423354,0.2533613484,0.2537266041,0.2582081043,0.2530223989,0.2544017673,0.2546907304,0.2592414986,0.2534243646,0.2520826788,0.2590207675,0.2525545765,0.2920634615,0.3026607885,0.2975770262,0.3014256387,0.2826945642,0.2715780862,0.2721047668,0.271731278,0.2718121583,0.2580750144,0.2566545313,0.2529094035,0.2269933376,0.0491626993,0,0.0259848902,0.017608086,0.0423401798,0.034762719,0.065519284,1.3356678362,1.3386838894,1.3410583681,0.1070276492,0.105254284,0.1061902447,0.1413694561,0.1693660482,0.155925685,0.1198346261,0.1229491584,0.1177274392,0.1313136501,0.158771943,0.1572161528,0.1640219288,0.1628444614,0.1432982404,0.1545323927,0.1667646777,0.1953199873,0.2198443213,0.2192356245,0.228593405,0.2750869903,0.2752387774,0.2405189762,0.2534769173,0.2628234444,0.2654819007,0.2624543942,0.2671243937,0.2625260327,0.2622452376,0.258865015,0.2653913189,0.2760961858,0.2773183318,0.2647453814,0.2835918449,0.2768782378,0.2640722569,0.257096574,0.2546247205
"Mx-7",0.2675782583,0.268819235,0.269474495,0.2695082508,0.2697059143,0.2688194519,0.2697572489,0.2696526939,0.2717837332,0.2681019274,0.270160549,0.267879562,0.2682448177,0.2727263179,0.2675406125,0.2689199809,0.269208944,0.2737597122,0.2679425782,0.2666008924,0.2735389811,0.2670727901,0.3065816751,0.3171790021,0.3120952398,0.3159438523,0.2972127778,0.2860962998,0.2866229804,0.2862494916,0.2863303719,0.272593228,0.2711727449,0.2674276171,0.2415115512,0.0636809129,0.0259848902,0,0.0321262996,0.0568583934,0.0492809326,0.0800374976,1.3501860498,1.353202103,1.3555765817,0.1215458628,0.1197724976,0.1207084583,0.1558876697,0.1838842618,0.1704438986,0.1343528397,0.137467372,0.1322456528,0.1458318637,0.1732901566,0.1717343664,0.1785401424,0.177362675,0.157816454,0.1690506063,0.1812828913,0.2098382009,0.2343625349,0.2337538381,0.2431116186,0.2896052039,0.289756991,0.2550371898,0.2679951309,0.277341658,0.2800001143,0.2769726078,0.2816426073,0.2770442463,0.2767634512,0.2733832286,0.2799095325,0.2906143994,0.2918365454,0.279263595,0.2981100585,0.2913964514,0.2785904705,0.2716147876,0.2691429341
"Mx_Va_2",0.2573030961,0.2585440728,0.2591993328,0.2592330886,0.2594307521,0.2585442897,0.2594820867,0.2593775317,0.261508571,0.2578267652,0.2598853868,0.2576043998,0.2579696555,0.2624511557,0.2572654503,0.2586448187,0.2589337818,0.26348455,0.257667416,0.2563257302,0.2632638189,0.2567976279,0.2963065129,0.3069038399,0.3018200776,0.3056686901,0.2869376156,0.2758211376,0.2763478182,0.2759743294,0.2760552097,0.2623180658,0.2608975827,0.2571524549,0.231236389,0.0534057507,0.017608086,0.0321262996,0,0.0465832312,0.0390057704,0.0697623354,1.3399108876,1.3429269408,1.3453014195,0.1112707006,0.1094973354,0.1104332961,0.1456125075,0.1736090996,0.1601687364,0.1240776775,0.1271922098,0.1219704906,0.1355567015,0.1630149944,0.1614592042,0.1682649802,0.1670875128,0.1475412918,0.1587754441,0.1710077291,0.1995630387,0.2240873727,0.2234786759,0.2328364564,0.2793300417,0.2794818288,0.2447620276,0.2577199687,0.2670664958,0.2697249521,0.2666974456,0.2713674451,0.2667690841,0.266488289,0.2631080664,0.2696343703,0.2803392372,0.2815613832,0.2689884328,0.2878348963,0.2811212892,0.2683153083,0.2613396254,0.2588677719
