"","Ale_1","Ale_2","Zub_10","Beij_2_1","F15_1","Tinasu_2","Cal1_Chile","F16_2","SUI3_1","Can_3","IT5_1","Chin_1_2","Chin_2_2_HaploIV","Tinasu_1","F_21_1","Azo_3","F5_1","IT9_2","F5_2","IT_4_3","F8_1","Mar3","Aus_1","ES1_2","Kwa_3","S_Afr_1","Aus_2","Kal_2","Kal_3","ES_4_2","ES_4_3","POR_3_3","Kwa_1","Hin_3","Boy_1","Ecu_1","Mx-4","Mx-7","Mx_Va_2","Mx-6","Mx_Va_1","Mx-5","Out_1","Out_3","Per2_2_HaploV","Mx-10","Mx-8","Mx_8_2e_individu","Mx-3","Mx_Mac_2","Mx-12","Mx-13","Mx-14","Mx-11","Teo-4","Mx-17","Mx-21","Mx-20","Mx-22","Mx_23_c","Mx_Ro_1","Mx_Ro_2","Mx-2","Mx-15","Mx-16","Mx-9","Lim_1","Lim_2","PORcol4_3","Bra_1","Car_8","ES_8_1","SUI1_1","EScol7_10","EScol1_1","ES6_1","IT18_2","EScol2_2","EScol8_1","EScol8_2","EScol9_1","IT16_2","Port4_2","F20_1","Beij_1_2","F15_2"
"Mx-6",0.2724084657,0.2736494424,0.2743047024,0.2743384582,0.2745361217,0.2736496593,0.2745874563,0.2744829013,0.2766139406,0.2729321348,0.2749907564,0.2727097694,0.2730750251,0.2775565253,0.2723708199,0.2737501883,0.2740391514,0.2785899196,0.2727727856,0.2714310998,0.2783691885,0.2719029975,0.3114118825,0.3220092095,0.3169254472,0.3207740597,0.3020429852,0.2909265072,0.2914531878,0.291079699,0.2911605793,0.2774234354,0.2760029523,0.2722578245,0.2463417586,0.0685111203,0.0423401798,0.0568583934,0.0465832312,0,0.05411114,0.084867705,1.3550162572,1.3580323104,1.3604067891,0.1263760702,0.124602705,0.1255386657,0.1607178771,0.1887144692,0.175274106,0.1391830471,0.1422975794,0.1370758602,0.1506620711,0.178120364,0.1765645738,0.1833703498,0.1821928824,0.1626466614,0.1738808137,0.1861130987,0.2146684083,0.2391927423,0.2385840455,0.247941826,0.2944354113,0.2945871984,0.2598673972,0.2728253383,0.2821718654,0.2848303217,0.2818028152,0.2864728147,0.2818744537,0.2815936586,0.278213436,0.2847397399,0.2954446068,0.2966667528,0.2840938024,0.3029402659,0.2962266588,0.2834206779,0.276444995,0.2739731415
"Mx_Va_1",0.2558191677,0.2570601444,0.2577154044,0.2577491602,0.2579468237,0.2570603613,0.2579981583,0.2578936033,0.2600246426,0.2563428368,0.2584014584,0.2561204714,0.2564857271,0.2609672273,0.2557815219,0.2571608903,0.2574498534,0.2620006216,0.2561834876,0.2548418018,0.2617798905,0.2553136995,0.2948225845,0.3054199115,0.3003361492,0.3041847617,0.2854536872,0.2743372092,0.2748638898,0.274490401,0.2745712813,0.2608341374,0.2594136543,0.2556685265,0.2297524606,0.0519218223,0.034762719,0.0492809326,0.0390057704,0.05411114,0,0.068278407,1.3384269592,1.3414430124,1.3438174911,0.1097867722,0.108013407,0.1089493677,0.1441285791,0.1721251712,0.158684808,0.1225937491,0.1257082814,0.1204865622,0.1340727731,0.161531066,0.1599752758,0.1667810518,0.1656035844,0.1460573634,0.1572915157,0.1695238007,0.1980791103,0.2226034443,0.2219947475,0.231352528,0.2778461133,0.2779979004,0.2432780992,0.2562360403,0.2655825674,0.2682410237,0.2652135172,0.2698835167,0.2652851557,0.2650043606,0.261624138,0.2681504419,0.2788553088,0.2800774548,0.2675045044,0.2863509679,0.2796373608,0.2668313799,0.259855697,0.2573838435
"Mx-5",0.2468399865,0.2480809632,0.2487362232,0.248769979,0.2489676425,0.2480811801,0.2490189771,0.2489144221,0.2510454614,0.2473636556,0.2494222772,0.2471412902,0.2475065459,0.2519880461,0.2468023407,0.2481817091,0.2484706722,0.2530214404,0.2472043064,0.2458626206,0.2528007093,0.2463345183,0.2858434033,0.2964407303,0.291356968,0.2952055805,0.276474506,0.265358028,0.2658847086,0.2655112198,0.2655921001,0.2518549562,0.2504344731,0.2466893453,0.2207732794,0.0617423619,0.065519284,0.0800374976,0.0697623354,0.084867705,0.068278407,0,1.329447778,1.3324638312,1.3348383099,0.100807591,0.0990342258,0.0999701865,0.1351493979,0.16314599,0.1497056268,0.1136145679,0.1167291002,0.111507381,0.1250935919,0.1525518848,0.1509960946,0.1578018706,0.1566244032,0.1370781822,0.1483123345,0.1605446195,0.1890999291,0.2136242631,0.2130155663,0.2223733468,0.2688669321,0.2690187192,0.234298918,0.2472568591,0.2566033862,0.2592618425,0.256234336,0.2609043355,0.2563059745,0.2560251794,0.2526449568,0.2591712607,0.2698761276,0.2710982736,0.2585253232,0.2773717867,0.2706581796,0.2578521987,0.2508765158,0.2484046623
"Out_1",1.4724148363,1.473655813,1.474311073,1.4743448288,1.4745424923,1.4736560299,1.4745938269,1.4744892719,1.4766203112,1.4729385054,1.474997127,1.47271614,1.4730813957,1.4775628959,1.4723771905,1.4737565589,1.474045522,1.4785962902,1.4727791562,1.4714374704,1.4783755591,1.4719093681,1.5114182531,1.5220155801,1.5169318178,1.5207804303,1.5020493558,1.4909328778,1.4914595584,1.4910860696,1.4911669499,1.477429806,1.4760093229,1.4722641951,1.4463481292,1.3318909141,1.3356678362,1.3501860498,1.3399108876,1.3550162572,1.3384269592,1.329447778,0,0.0055325336,0.0079070123,1.3263824408,1.3246090756,1.3255450363,1.3607242477,1.3887208398,1.3752804766,1.3391894177,1.34230395,1.3370822308,1.3506684417,1.3781267346,1.3765709444,1.3833767204,1.382199253,1.362653032,1.3738871843,1.3861194693,1.4146747789,1.4391991129,1.4385904161,1.4479481966,1.4944417819,1.494593569,1.4598737678,1.4728317089,1.482178236,1.4848366923,1.4818091858,1.4864791853,1.4818808243,1.4816000292,1.4782198066,1.4847461105,1.4954509774,1.4966731234,1.484100173,1.5029466365,1.4962330294,1.4834270485,1.4764513656,1.4739795121
"Out_3",1.4754308895,1.4766718662,1.4773271262,1.477360882,1.4775585455,1.4766720831,1.4776098801,1.4775053251,1.4796363644,1.4759545586,1.4780131802,1.4757321932,1.4760974489,1.4805789491,1.4753932437,1.4767726121,1.4770615752,1.4816123434,1.4757952094,1.4744535236,1.4813916123,1.4749254213,1.5144343063,1.5250316333,1.519947871,1.5237964835,1.505065409,1.493948931,1.4944756116,1.4941021228,1.4941830031,1.4804458592,1.4790253761,1.4752802483,1.4493641824,1.3349069673,1.3386838894,1.353202103,1.3429269408,1.3580323104,1.3414430124,1.3324638312,0.0055325336,0,0.0087165775,1.329398494,1.3276251288,1.3285610895,1.3637403009,1.391736893,1.3782965298,1.3422054709,1.3453200032,1.340098284,1.3536844949,1.3811427878,1.3795869976,1.3863927736,1.3852153062,1.3656690852,1.3769032375,1.3891355225,1.4176908321,1.4422151661,1.4416064693,1.4509642498,1.4974578351,1.4976096222,1.462889821,1.4758477621,1.4851942892,1.4878527455,1.484825239,1.4894952385,1.4848968775,1.4846160824,1.4812358598,1.4877621637,1.4984670306,1.4996891766,1.4871162262,1.5059626897,1.4992490826,1.4864431017,1.4794674188,1.4769955653
"Per2_2_HaploV",1.4778053682,1.4790463449,1.4797016049,1.4797353607,1.4799330242,1.4790465618,1.4799843588,1.4798798038,1.4820108431,1.4783290373,1.4803876589,1.4781066719,1.4784719276,1.4829534278,1.4777677224,1.4791470908,1.4794360539,1.4839868221,1.4781696881,1.4768280023,1.483766091,1.4772999,1.516808785,1.527406112,1.5223223497,1.5261709622,1.5074398877,1.4963234097,1.4968500903,1.4964766015,1.4965574818,1.4828203379,1.4813998548,1.477654727,1.4517386611,1.337281446,1.3410583681,1.3555765817,1.3453014195,1.3604067891,1.3438174911,1.3348383099,0.0079070123,0.0087165775,0,1.3317729727,1.3299996075,1.3309355682,1.3661147796,1.3941113717,1.3806710085,1.3445799496,1.3476944819,1.3424727627,1.3560589736,1.3835172665,1.3819614763,1.3887672523,1.3875897849,1.3680435639,1.3792777162,1.3915100012,1.4200653108,1.4445896448,1.443980948,1.4533387285,1.4998323138,1.4999841009,1.4652642997,1.4782222408,1.4875687679,1.4902272242,1.4871997177,1.4918697172,1.4872713562,1.4869905611,1.4836103385,1.4901366424,1.5008415093,1.5020636553,1.4894907049,1.5083371684,1.5016235613,1.4888175804,1.4818418975,1.479370044
"Mx-10",0.1665575243,0.167798501,0.168453761,0.1684875168,0.1686851803,0.1677987179,0.1687365149,0.1686319599,0.1707629992,0.1670811934,0.169139815,0.166858828,0.1672240837,0.1717055839,0.1665198785,0.1678992469,0.16818821,0.1727389782,0.1669218442,0.1655801584,0.1725182471,0.1660520561,0.2055609411,0.2161582681,0.2110745058,0.2149231183,0.1961920438,0.1850755658,0.1856022464,0.1852287576,0.1853096379,0.171572494,0.1701520109,0.1664068831,0.1404908172,0.1032507271,0.1070276492,0.1215458628,0.1112707006,0.1263760702,0.1097867722,0.100807591,1.3263824408,1.329398494,1.3317729727,0,0.0039791812,0.0049151419,0.0419193563,0.0699159484,0.0631874408,0.0270963819,0.0302109142,0.0312249188,0.0448111297,0.0722694226,0.0707136324,0.0775194084,0.076341941,0.05679572,0.0680298723,0.0802621573,0.1088174669,0.1333418009,0.1327331041,0.1420908846,0.1885844699,0.188736257,0.1540164558,0.1669743969,0.176320924,0.1789793803,0.1759518738,0.1806218733,0.1760235123,0.1757427172,0.1723624946,0.1788887985,0.1895936654,0.1908158114,0.178242861,0.1970893245,0.1903757174,0.1775697365,0.1705940536,0.1681222001
"Mx-8",0.1647841591,0.1660251358,0.1666803958,0.1667141516,0.1669118151,0.1660253527,0.1669631497,0.1668585947,0.168989634,0.1653078282,0.1673664498,0.1650854628,0.1654507185,0.1699322187,0.1647465133,0.1661258817,0.1664148448,0.170965613,0.165148479,0.1638067932,0.1707448819,0.1642786909,0.2037875759,0.2143849029,0.2093011406,0.2131497531,0.1944186786,0.1833022006,0.1838288812,0.1834553924,0.1835362727,0.1697991288,0.1683786457,0.1646335179,0.138717452,0.1014773619,0.105254284,0.1197724976,0.1094973354,0.124602705,0.108013407,0.0990342258,1.3246090756,1.3276251288,1.3299996075,0.0039791812,0,0.0028212263,0.0401459911,0.0681425832,0.0614140756,0.0253230167,0.028437549,0.0294515536,0.0430377645,0.0704960574,0.0689402672,0.0757460432,0.0745685758,0.0550223548,0.0662565071,0.0784887921,0.1070441017,0.1315684357,0.1309597389,0.1403175194,0.1868111047,0.1869628918,0.1522430906,0.1652010317,0.1745475588,0.1772060151,0.1741785086,0.1788485081,0.1742501471,0.173969352,0.1705891294,0.1771154333,0.1878203002,0.1890424462,0.1764694958,0.1953159593,0.1886023522,0.1757963713,0.1688206884,0.1663488349
"Mx_8_2e_individu",0.1657201198,0.1669610965,0.1676163565,0.1676501123,0.1678477758,0.1669613134,0.1678991104,0.1677945554,0.1699255947,0.1662437889,0.1683024105,0.1660214235,0.1663866792,0.1708681794,0.165682474,0.1670618424,0.1673508055,0.1719015737,0.1660844397,0.1647427539,0.1716808426,0.1652146516,0.2047235366,0.2153208636,0.2102371013,0.2140857138,0.1953546393,0.1842381613,0.1847648419,0.1843913531,0.1844722334,0.1707350895,0.1693146064,0.1655694786,0.1396534127,0.1024133226,0.1061902447,0.1207084583,0.1104332961,0.1255386657,0.1089493677,0.0999701865,1.3255450363,1.3285610895,1.3309355682,0.0049151419,0.0028212263,0,0.0410819518,0.0690785439,0.0623500363,0.0262589774,0.0293735097,0.0303875143,0.0439737252,0.0714320181,0.0698762279,0.0766820039,0.0755045365,0.0559583155,0.0671924678,0.0794247528,0.1079800624,0.1325043964,0.1318956996,0.1412534801,0.1877470654,0.1878988525,0.1531790513,0.1661369924,0.1754835195,0.1781419758,0.1751144693,0.1797844688,0.1751861078,0.1749053127,0.1715250901,0.178051394,0.1887562609,0.1899784069,0.1774054565,0.19625192,0.1895383129,0.176732332,0.1697566491,0.1672847956
"Mx-3",0.2008993312,0.2021403079,0.2027955679,0.2028293237,0.2030269872,0.2021405248,0.2030783218,0.2029737668,0.2051048061,0.2014230003,0.2034816219,0.2012006349,0.2015658906,0.2060473908,0.2008616854,0.2022410538,0.2025300169,0.2070807851,0.2012636511,0.1999219653,0.206860054,0.200393863,0.239902748,0.250500075,0.2454163127,0.2492649252,0.2305338507,0.2194173727,0.2199440533,0.2195705645,0.2196514448,0.2059143009,0.2044938178,0.20074869,0.1748326241,0.137592534,0.1413694561,0.1558876697,0.1456125075,0.1607178771,0.1441285791,0.1351493979,1.3607242477,1.3637403009,1.3661147796,0.0419193563,0.0401459911,0.0410819518,0,0.0449026705,0.0975292477,0.0614381888,0.0645527211,0.0655667257,0.0791529366,0.1066112295,0.1050554393,0.1118612153,0.1106837479,0.0911375269,0.1023716792,0.1146039642,0.1431592738,0.1676836078,0.167074911,0.1764326915,0.2229262768,0.2230780639,0.1883582627,0.2013162038,0.2106627309,0.2133211872,0.2102936807,0.2149636802,0.2103653192,0.2100845241,0.2067043015,0.2132306054,0.2239354723,0.2251576183,0.2125846679,0.2314311314,0.2247175243,0.2119115434,0.2049358605,0.202464007
"Mx_Mac_2",0.2288959233,0.2301369,0.23079216,0.2308259158,0.2310235793,0.2301371169,0.2310749139,0.2309703589,0.2331013982,0.2294195924,0.231478214,0.229197227,0.2295624827,0.2340439829,0.2288582775,0.2302376459,0.230526609,0.2350773772,0.2292602432,0.2279185574,0.2348566461,0.2283904551,0.2678993401,0.2784966671,0.2734129048,0.2772615173,0.2585304428,0.2474139648,0.2479406454,0.2475671566,0.2476480369,0.233910893,0.2324904099,0.2287452821,0.2028292162,0.1655891261,0.1693660482,0.1838842618,0.1736090996,0.1887144692,0.1721251712,0.16314599,1.3887208398,1.391736893,1.3941113717,0.0699159484,0.0681425832,0.0690785439,0.0449026705,0,0.1255258398,0.0894347809,0.0925493132,0.0935633178,0.1071495287,0.1346078216,0.1330520314,0.1398578074,0.13868034,0.119134119,0.1303682713,0.1426005563,0.1711558659,0.1956801999,0.1950715031,0.2044292836,0.2509228689,0.251074656,0.2163548548,0.2293127959,0.238659323,0.2413177793,0.2382902728,0.2429602723,0.2383619113,0.2380811162,0.2347008936,0.2412271975,0.2519320644,0.2531542104,0.24058126,0.2594277235,0.2527141164,0.2399081355,0.2329324526,0.2304605991
"Mx-12",0.2154555601,0.2166965368,0.2173517968,0.2173855526,0.2175832161,0.2166967537,0.2176345507,0.2175299957,0.219661035,0.2159792292,0.2180378508,0.2157568638,0.2161221195,0.2206036197,0.2154179143,0.2167972827,0.2170862458,0.221637014,0.21581988,0.2144781942,0.2214162829,0.2149500919,0.2544589769,0.2650563039,0.2599725416,0.2638211541,0.2450900796,0.2339736016,0.2345002822,0.2341267934,0.2342076737,0.2204705298,0.2190500467,0.2153049189,0.189388853,0.1521487629,0.155925685,0.1704438986,0.1601687364,0.175274106,0.158684808,0.1497056268,1.3752804766,1.3782965298,1.3806710085,0.0631874408,0.0614140756,0.0623500363,0.0975292477,0.1255258398,0,0.0462937783,0.0643794024,0.0801229546,0.0937091655,0.1211674584,0.1196116682,0.1264174442,0.1252399768,0.1056937558,0.1169279081,0.1291601931,0.1577155027,0.1822398367,0.1816311399,0.1909889204,0.2374825057,0.2376342928,0.2029144916,0.2158724327,0.2252189598,0.2278774161,0.2248499096,0.2295199091,0.2249215481,0.224640753,0.2212605304,0.2277868343,0.2384917012,0.2397138472,0.2271408968,0.2459873603,0.2392737532,0.2264677723,0.2194920894,0.2170202359
"Mx-13",0.1793645012,0.1806054779,0.1812607379,0.1812944937,0.1814921572,0.1806056948,0.1815434918,0.1814389368,0.1835699761,0.1798881703,0.1819467919,0.1796658049,0.1800310606,0.1845125608,0.1793268554,0.1807062238,0.1809951869,0.1855459551,0.1797288211,0.1783871353,0.185325224,0.178859033,0.218367918,0.228965245,0.2238814827,0.2277300952,0.2089990207,0.1978825427,0.1984092233,0.1980357345,0.1981166148,0.1843794709,0.1829589878,0.17921386,0.1532977941,0.116057704,0.1198346261,0.1343528397,0.1240776775,0.1391830471,0.1225937491,0.1136145679,1.3391894177,1.3422054709,1.3445799496,0.0270963819,0.0253230167,0.0262589774,0.0614381888,0.0894347809,0.0462937783,0,0.0282883435,0.0440318957,0.0576181066,0.0850763995,0.0835206093,0.0903263853,0.0891489179,0.0696026969,0.0808368492,0.0930691342,0.1216244438,0.1461487778,0.145540081,0.1548978615,0.2013914468,0.2015432339,0.1668234327,0.1797813738,0.1891279009,0.1917863572,0.1887588507,0.1934288502,0.1888304892,0.1885496941,0.1851694715,0.1916957754,0.2024006423,0.2036227883,0.1910498379,0.2098963014,0.2031826943,0.1903767134,0.1834010305,0.180929177
"Mx-14",0.1824790335,0.1837200102,0.1843752702,0.184409026,0.1846066895,0.1837202271,0.1846580241,0.1845534691,0.1866845084,0.1830027026,0.1850613242,0.1827803372,0.1831455929,0.1876270931,0.1824413877,0.1838207561,0.1841097192,0.1886604874,0.1828433534,0.1815016676,0.1884397563,0.1819735653,0.2214824503,0.2320797773,0.226996015,0.2308446275,0.212113553,0.200997075,0.2015237556,0.2011502668,0.2012311471,0.1874940032,0.1860735201,0.1823283923,0.1564123264,0.1191722363,0.1229491584,0.137467372,0.1271922098,0.1422975794,0.1257082814,0.1167291002,1.34230395,1.3453200032,1.3476944819,0.0302109142,0.028437549,0.0293735097,0.0645527211,0.0925493132,0.0643794024,0.0282883435,0,0.047146428,0.0607326389,0.0881909318,0.0866351416,0.0934409176,0.0922634502,0.0727172292,0.0839513815,0.0961836665,0.1247389761,0.1492633101,0.1486546133,0.1580123938,0.2045059791,0.2046577662,0.169937965,0.1828959061,0.1922424332,0.1949008895,0.191873383,0.1965433825,0.1919450215,0.1916642264,0.1882840038,0.1948103077,0.2055151746,0.2067373206,0.1941643702,0.2130108337,0.2062972266,0.1934912457,0.1865155628,0.1840437093
"Mx-11",0.1655726625,0.1668136392,0.1674688992,0.167502655,0.1677003185,0.1668138561,0.1677516531,0.1676470981,0.1697781374,0.1660963316,0.1681549532,0.1658739662,0.1662392219,0.1707207221,0.1655350167,0.1669143851,0.1672033482,0.1717541164,0.1659369824,0.1645952966,0.1715333853,0.1650671943,0.2045760793,0.2151734063,0.210089644,0.2139382565,0.195207182,0.184090704,0.1846173846,0.1842438958,0.1843247761,0.1705876322,0.1691671491,0.1654220213,0.1395059554,0.1139505171,0.1177274392,0.1322456528,0.1219704906,0.1370758602,0.1204865622,0.111507381,1.3370822308,1.340098284,1.3424727627,0.0312249188,0.0294515536,0.0303875143,0.0655667257,0.0935633178,0.0801229546,0.0440318957,0.047146428,0,0.0320074777,0.0712845608,0.0697287706,0.0765345466,0.0753570792,0.0558108582,0.0670450105,0.0792772955,0.1078326051,0.1323569391,0.1317482423,0.1411060228,0.1875996081,0.1877513952,0.153031594,0.1659895351,0.1753360622,0.1779945185,0.174967012,0.1796370115,0.1750386505,0.1747578554,0.1713776328,0.1779039367,0.1886088036,0.1898309496,0.1772579992,0.1961044627,0.1893908556,0.1765848747,0.1696091918,0.1671373383
"Teo-4",0.1791588734,0.1803998501,0.1810551101,0.1810888659,0.1812865294,0.180400067,0.181337864,0.181233309,0.1833643483,0.1796825425,0.1817411641,0.1794601771,0.1798254328,0.184306933,0.1791212276,0.180500596,0.1807895591,0.1853403273,0.1795231933,0.1781815075,0.1851195962,0.1786534052,0.2181622902,0.2287596172,0.2236758549,0.2275244674,0.2087933929,0.1976769149,0.1982035955,0.1978301067,0.197910987,0.1841738431,0.18275336,0.1790082322,0.1530921663,0.127536728,0.1313136501,0.1458318637,0.1355567015,0.1506620711,0.1340727731,0.1250935919,1.3506684417,1.3536844949,1.3560589736,0.0448111297,0.0430377645,0.0439737252,0.0791529366,0.1071495287,0.0937091655,0.0576181066,0.0607326389,0.0320074777,0,0.0848707717,0.0833149815,0.0901207575,0.0889432901,0.0693970691,0.0806312214,0.0928635064,0.121418816,0.14594315,0.1453344532,0.1546922337,0.201185819,0.2013376061,0.1666178049,0.179575746,0.1889222731,0.1915807294,0.1885532229,0.1932232224,0.1886248614,0.1883440663,0.1849638437,0.1914901476,0.2021950145,0.2034171605,0.1908442101,0.2096906736,0.2029770665,0.1901710856,0.1831954027,0.1807235492
"Mx-17",0.1757130223,0.176953999,0.177609259,0.1776430148,0.1778406783,0.1769542159,0.1778920129,0.1777874579,0.1799184972,0.1762366914,0.178295313,0.176014326,0.1763795817,0.1808610819,0.1756753765,0.1770547449,0.177343708,0.1818944762,0.1760773422,0.1747356564,0.1816737451,0.1752075541,0.2147164391,0.2253137661,0.2202300038,0.2240786163,0.2053475418,0.1942310638,0.1947577444,0.1943842556,0.1944651359,0.180727992,0.1793075089,0.1755623811,0.1496463152,0.1549950209,0.158771943,0.1732901566,0.1630149944,0.178120364,0.161531066,0.1525518848,1.3781267346,1.3811427878,1.3835172665,0.0722694226,0.0704960574,0.0714320181,0.1066112295,0.1346078216,0.1211674584,0.0850763995,0.0881909318,0.0712845608,0.0848707717,0,0.0119949462,0.044750418,0.0435729506,0.047066494,0.0771853703,0.0894176553,0.1179729649,0.1424972989,0.1418886021,0.1512463826,0.1977399679,0.197891755,0.1631719538,0.1761298949,0.185476422,0.1881348783,0.1851073718,0.1897773713,0.1851790103,0.1848982152,0.1815179926,0.1880442965,0.1987491634,0.1999713094,0.187398359,0.2062448225,0.1995312154,0.1867252345,0.1797495516,0.1772776981
"Mx-21",0.1741572321,0.1753982088,0.1760534688,0.1760872246,0.1762848881,0.1753984257,0.1763362227,0.1762316677,0.178362707,0.1746809012,0.1767395228,0.1744585358,0.1748237915,0.1793052917,0.1741195863,0.1754989547,0.1757879178,0.180338686,0.174521552,0.1731798662,0.1801179549,0.1736517639,0.2131606489,0.2237579759,0.2186742136,0.2225228261,0.2037917516,0.1926752736,0.1932019542,0.1928284654,0.1929093457,0.1791722018,0.1777517187,0.1740065909,0.148090525,0.1534392307,0.1572161528,0.1717343664,0.1614592042,0.1765645738,0.1599752758,0.1509960946,1.3765709444,1.3795869976,1.3819614763,0.0707136324,0.0689402672,0.0698762279,0.1050554393,0.1330520314,0.1196116682,0.0835206093,0.0866351416,0.0697287706,0.0833149815,0.0119949462,0,0.0431946278,0.0420171604,0.0455107038,0.0756295801,0.0878618651,0.1164171747,0.1409415087,0.1403328119,0.1496905924,0.1961841777,0.1963359648,0.1616161636,0.1745741047,0.1839206318,0.1865790881,0.1835515816,0.1882215811,0.1836232201,0.183342425,0.1799622024,0.1864885063,0.1971933732,0.1984155192,0.1858425688,0.2046890323,0.1979754252,0.1851694443,0.1781937614,0.1757219079
"Mx-20",0.1809630081,0.1822039848,0.1828592448,0.1828930006,0.1830906641,0.1822042017,0.1831419987,0.1830374437,0.185168483,0.1814866772,0.1835452988,0.1812643118,0.1816295675,0.1861110677,0.1809253623,0.1823047307,0.1825936938,0.187144462,0.181327328,0.1799856422,0.1869237309,0.1804575399,0.2199664249,0.2305637519,0.2254799896,0.2293286021,0.2105975276,0.1994810496,0.2000077302,0.1996342414,0.1997151217,0.1859779778,0.1845574947,0.1808123669,0.154896301,0.1602450067,0.1640219288,0.1785401424,0.1682649802,0.1833703498,0.1667810518,0.1578018706,1.3833767204,1.3863927736,1.3887672523,0.0775194084,0.0757460432,0.0766820039,0.1118612153,0.1398578074,0.1264174442,0.0903263853,0.0934409176,0.0765345466,0.0901207575,0.044750418,0.0431946278,0,0.0088258912,0.0523164798,0.0824353561,0.0946676411,0.1232229507,0.1477472847,0.1471385879,0.1564963684,0.2029899537,0.2031417408,0.1684219396,0.1813798807,0.1907264078,0.1933848641,0.1903573576,0.1950273571,0.1904289961,0.190148201,0.1867679784,0.1932942823,0.2039991492,0.2052212952,0.1926483448,0.2114948083,0.2047812012,0.1919752203,0.1849995374,0.1825276839
"Mx-22",0.1797855407,0.1810265174,0.1816817774,0.1817155332,0.1819131967,0.1810267343,0.1819645313,0.1818599763,0.1839910156,0.1803092098,0.1823678314,0.1800868444,0.1804521001,0.1849336003,0.1797478949,0.1811272633,0.1814162264,0.1859669946,0.1801498606,0.1788081748,0.1857462635,0.1792800725,0.2187889575,0.2293862845,0.2243025222,0.2281511347,0.2094200602,0.1983035822,0.1988302628,0.198456774,0.1985376543,0.1848005104,0.1833800273,0.1796348995,0.1537188336,0.1590675393,0.1628444614,0.177362675,0.1670875128,0.1821928824,0.1656035844,0.1566244032,1.382199253,1.3852153062,1.3875897849,0.076341941,0.0745685758,0.0755045365,0.1106837479,0.13868034,0.1252399768,0.0891489179,0.0922634502,0.0753570792,0.0889432901,0.0435729506,0.0420171604,0.0088258912,0,0.0511390124,0.0812578887,0.0934901737,0.1220454833,0.1465698173,0.1459611205,0.155318901,0.2018124863,0.2019642734,0.1672444722,0.1802024133,0.1895489404,0.1922073967,0.1891798902,0.1938498897,0.1892515287,0.1889707336,0.185590511,0.1921168149,0.2028216818,0.2040438278,0.1914708774,0.2103173409,0.2036037338,0.1907977529,0.18382207,0.1813502165
"Mx_23_c",0.1602393197,0.1614802964,0.1621355564,0.1621693122,0.1623669757,0.1614805133,0.1624183103,0.1623137553,0.1644447946,0.1607629888,0.1628216104,0.1605406234,0.1609058791,0.1653873793,0.1602016739,0.1615810423,0.1618700054,0.1664207736,0.1606036396,0.1592619538,0.1662000425,0.1597338515,0.1992427365,0.2098400635,0.2047563012,0.2086049137,0.1898738392,0.1787573612,0.1792840418,0.178910553,0.1789914333,0.1652542894,0.1638338063,0.1600886785,0.1341726126,0.1395213183,0.1432982404,0.157816454,0.1475412918,0.1626466614,0.1460573634,0.1370781822,1.362653032,1.3656690852,1.3680435639,0.05679572,0.0550223548,0.0559583155,0.0911375269,0.119134119,0.1056937558,0.0696026969,0.0727172292,0.0558108582,0.0693970691,0.047066494,0.0455107038,0.0523164798,0.0511390124,0,0.0617116677,0.0739439527,0.1024992623,0.1270235963,0.1264148995,0.13577268,0.1822662653,0.1824180524,0.1476982512,0.1606561923,0.1700027194,0.1726611757,0.1696336692,0.1743036687,0.1697053077,0.1694245126,0.16604429,0.1725705939,0.1832754608,0.1844976068,0.1719246564,0.1907711199,0.1840575128,0.1712515319,0.164275849,0.1618039955
"Mx_Ro_1",0.1404503928,0.1416913695,0.1423466295,0.1423803853,0.1425780488,0.1416915864,0.1426293834,0.1425248284,0.1446558677,0.1409740619,0.1430326835,0.1407516965,0.1411169522,0.1455984524,0.140412747,0.1417921154,0.1420810785,0.1466318467,0.1408147127,0.1394730269,0.1464111156,0.1399449246,0.1794538096,0.1900511366,0.1849673743,0.1888159868,0.1700849123,0.1589684343,0.1594951149,0.1591216261,0.1592025064,0.1454653625,0.1440448794,0.1402997516,0.1143836857,0.1507554706,0.1545323927,0.1690506063,0.1587754441,0.1738808137,0.1572915157,0.1483123345,1.3738871843,1.3769032375,1.3792777162,0.0680298723,0.0662565071,0.0671924678,0.1023716792,0.1303682713,0.1169279081,0.0808368492,0.0839513815,0.0670450105,0.0806312214,0.0771853703,0.0756295801,0.0824353561,0.0812578887,0.0617116677,0,0.0541550258,0.0827103354,0.1072346694,0.1066259726,0.1159837531,0.1624773384,0.1626291255,0.1279093243,0.1408672654,0.1502137925,0.1528722488,0.1498447423,0.1545147418,0.1499163808,0.1496355857,0.1462553631,0.152781667,0.1634865339,0.1647086799,0.1521357295,0.170982193,0.1642685859,0.151462605,0.1444869221,0.1420150686
