Iteration	Posterior	Likelihood	Prior	clado_fission_pr	clado_fusion_pr	clado_no_change_pr	clado_polyploid_pr	clado_type[1]	clado_type[2]	clado_type[3]	clado_type[4]	clado_type[5]	delta	gamma	rho
360	-56.98392	-68.79838	11.81446	0.007123527	0.004167164	0.06342403	0.1242113	0.318832	0.0358099	0.0209483	0.62441	0	0.0115858	0.2051252	0.01472622
370	-57.25581	-68.40437	11.14856	0.009364995	0.001995816	0.036332	0.04327537	0.399392	0.102948	0.0219397	0.47572	0	0.07727691	0.3173653	0.01134357
380	-62.85551	-69.58235	6.726839	0.02536396	0.008223434	0.09032737	0.4133945	0.168111	0.0472055	0.0153048	0.769379	0	0.1121128	0.2662287	0.02347494
390	-58.82049	-69.79915	10.97866	0.01788624	0.01354845	0.05247588	0.08702613	0.30699	0.104637	0.07926	0.509113	0	0.09016952	0.2066159	0.04622191
400	-58.59235	-67.39517	8.802824	0.005263923	0.006109392	0.1525398	0.1026941	0.572152	0.0197441	0.0229153	0.385189	0	0.1425295	0.2308175	0.0915731
410	-61.88799	-71.33772	9.449731	0.008105546	0.05181916	0.1322794	0.07921899	0.487355	0.0298631	0.190917	0.291865	0	0.126089	0.07268037	0.196644
420	-61.63424	-69.92761	8.293365	0.007566483	0.02757865	0.1720881	0.1311745	0.508523	0.0223591	0.0814953	0.387623	0	0.1525512	0.08027299	0.2112411
430	-61.9975	-69.46797	7.470466	0.05124288	0.007566433	0.2600577	0.074605	0.660931	0.130233	0.0192299	0.189607	0	0.1411756	0.1291232	0.2009921
440	-61.08405	-68.87631	7.792257	0.01104219	0.006383158	0.06417346	0.04730933	0.497823	0.0856594	0.0495171	0.367	0	0.07394837	0.3770626	0.2526647
450	-61.4864	-67.98596	6.499556	0.03728175	0.01153571	0.1742169	0.1991663	0.41264	0.0883034	0.0273228	0.471734	0	0.04616981	0.3028695	0.190614
460	-69.6471	-69.75573	0.1086317	0.1307954	0.009244513	0.2718213	0.4764213	0.306008	0.147245	0.0104072	0.53634	0	0.09898084	0.5735175	0.04016552
470	-64.98921	-69.34478	4.35557	0.0219478	0.04654388	0.2465541	0.2448389	0.440366	0.0392006	0.0831312	0.437302	0	0.2195091	0.3478334	0.04902528
480	-63.68969	-71.38065	7.690959	0.01079802	0.01581981	0.142948	0.1873447	0.400515	0.0302541	0.0443243	0.524907	0	0.228569	0.0815721	0.175662
490	-62.79062	-69.42376	6.633144	0.005978189	0.02988951	0.3917002	0.198755	0.625397	0.0095449	0.0477222	0.317336	0	0.04990157	0.06175056	0.2105201
500	-64.81046	-73.83923	9.028778	0.001121638	0.09820278	0.1106558	0.1902225	0.276499	0.00280268	0.245383	0.475315	0	0.07425894	0.0464661	0.1880041
510	-61.99489	-72.71025	10.71536	0.0009460303	0.003105549	0.160271	0.07342354	0.674127	0.00397916	0.0130625	0.308832	0	0.1703647	0.03335495	0.09880822
520	-58.36039	-70.51215	12.15176	0.01200168	0.004532017	0.05815692	0.04246895	0.496391	0.102439	0.0386824	0.362488	0	0.07115695	0.0461389	0.1621785
530	-59.76988	-67.01172	7.241844	0.01605587	0.002234015	0.2418789	0.1507549	0.588622	0.0390726	0.00543657	0.366868	0	0.06429516	0.1848307	0.2275756
540	-60.78072	-67.98305	7.202329	0.006069615	0.002434269	0.3533809	0.2122718	0.615478	0.0105714	0.00423973	0.369711	0	0.09839952	0.1370818	0.08193868
550	-63.64467	-67.63474	3.990071	0.03112348	0.0005022353	0.3869474	0.1325405	0.702119	0.0564738	0.00091131	0.240496	0	0.1103404	0.2679369	0.2834116
560	-60.96477	-68.97521	8.010446	0.05480264	0.0002153617	0.1710802	0.1037867	0.518606	0.166127	0.000652839	0.314615	0	0.08221313	0.1212481	0.2774188
570	-59.93218	-68.89112	8.958935	0.0356662	8.988546e-05	0.1959641	0.06853887	0.65265	0.118785	0.00029936	0.228266	0	0.0942373	0.06665056	0.2547692
580	-60.41177	-72.11537	11.70359	0.03982823	0.0003515056	0.1084876	0.05514043	0.532304	0.195421	0.00172469	0.270551	0	0.07868063	0.03702205	0.1219397
590	-62.06048	-71.02501	8.964537	0.009029329	0.002857171	0.1449777	0.1289031	0.507328	0.0315968	0.00999824	0.451077	0	0.2092737	0.04941481	0.1709
600	-60.36	-69.0543	8.694305	0.01680206	0.00648093	0.262751	0.08053617	0.716782	0.0458359	0.0176799	0.219702	0	0.09640711	0.06533545	0.2140663
610	-61.11309	-67.71256	6.599472	0.021768	0.02448514	0.3407081	0.1268932	0.663044	0.0423622	0.0476499	0.246944	0	0.0299455	0.2752957	0.1327668
620	-60.60139	-67.12635	6.524961	0.007609955	0.02990596	0.2951559	0.1884559	0.566379	0.0146029	0.057387	0.361631	0	0.03770781	0.2128857	0.1875923
630	-58.29683	-68.12519	9.828359	0.004413765	0.02669068	0.1174188	0.0895032	0.493301	0.0185432	0.112133	0.376022	0	0.05872775	0.1856179	0.1466016
640	-60.56849	-69.27359	8.705099	0.003739264	0.01250018	0.2629088	0.1125098	0.671271	0.00954727	0.031916	0.287265	0	0.1181313	0.09346906	0.1380413
650	-59.89635	-66.85087	6.954522	0.006657676	0.003868238	0.3061307	0.2636733	0.527511	0.0114722	0.00666558	0.454351	0	0.08327565	0.1698859	0.08286586
660	-58.97308	-66.24137	7.26829	0.01885296	0.001501993	0.208718	0.2493633	0.43625	0.0394054	0.00313938	0.521205	0	0.06527589	0.3115887	0.02967973
670	-57.41689	-67.48708	10.07019	0.003257279	0.001788331	0.137001	0.1809805	0.424116	0.0100836	0.00553616	0.560264	0	0.0820058	0.1831952	0.01656223
680	-58.86494	-68.86475	9.999804	0.003345714	0.0002679769	0.2098831	0.07897952	0.717607	0.0114393	0.000916235	0.270037	0	0.06288925	0.2400348	0.01642887
690	-56.29241	-67.08123	10.78881	0.01256704	0.0005635632	0.07074264	0.08108358	0.428855	0.0761838	0.00341643	0.491544	0	0.02814473	0.3193724	0.02045426
700	-55.70439	-68.62707	12.92268	0.004857605	0.003031075	0.02958725	0.02878407	0.446533	0.0733113	0.0457452	0.434411	0	0.009371051	0.2148319	0.02907825
710	-57.45046	-68.54085	11.0904	0.005982987	0.01588837	0.07672801	0.1454596	0.314383	0.0245145	0.0651005	0.596002	0	0.03680135	0.1970934	0.02481608
720	-58.88597	-67.68322	8.797254	0.003693394	0.02016064	0.0907444	0.1842586	0.303638	0.0123584	0.0674592	0.616544	0	0.0740769	0.3271326	0.03201773
730	-59.09225	-68.58042	9.488169	0.0007790277	0.0170971	0.1983911	0.1321779	0.569361	0.00223573	0.0490668	0.379336	0	0.1002133	0.1348132	0.07952098
740	-58.85529	-67.55526	8.699971	0.0002869147	0.008568878	0.07124401	0.04086431	0.588968	0.0023719	0.0708382	0.337822	0	0.1223504	0.3574842	0.1410137
750	-61.15644	-68.89867	7.742235	0.00627425	0.008879414	0.05882526	0.2790301	0.16664	0.0177736	0.0251535	0.790433	0	0.1397208	0.2111482	0.1337081
760	-61.1958	-70.7498	9.554005	0.01310841	0.03983604	0.08101316	0.2576707	0.206862	0.0334716	0.101719	0.657947	0	0.06104339	0.1476341	0.05610322
770	-58.88265	-68.51017	9.627516	0.01728514	0.01475706	0.1394624	0.08661932	0.540292	0.0669645	0.0571704	0.335573	0	0.07631866	0.1243727	0.1902427
780	-58.18201	-70.49551	12.3135	0.008691578	0.003976708	0.03382907	0.06864828	0.293794	0.0754833	0.0345363	0.596187	0	0.06820642	0.1050314	0.09207581
790	-60.11447	-68.17406	8.059584	0.002500322	0.003432216	0.2807873	0.3300903	0.455225	0.00405363	0.00556446	0.535157	0	0.01007456	0.1363491	0.04261736
800	-59.17535	-67.95574	8.780391	0.002776497	0.002617708	0.1292105	0.08907043	0.57767	0.0124131	0.0117032	0.398213	0	0.01300237	0.4814868	0.01560608
810	-58.81358	-65.99405	7.180463	0.001517389	0.0006978087	0.3279291	0.2494625	0.565779	0.00261796	0.00120393	0.430399	0	0.05188718	0.2338416	0.02842767
820	-58.2575	-66.05945	7.801951	0.002055378	0.001152343	0.1980087	0.2403853	0.448388	0.00465437	0.00260946	0.544349	0	0.09351808	0.2432457	0.05324898
830	-61.18074	-66.56464	5.383902	0.003340689	0.01081043	0.3216044	0.2267098	0.571776	0.00593937	0.0192197	0.403065	0	0.1001754	0.3769841	0.03379454
840	-64.12916	-67.97981	3.850653	0.004811909	0.01208244	0.1854578	0.5995678	0.231267	0.00600049	0.0150669	0.747665	0	0.1056238	0.2873491	0.03185139
850	-59.47921	-68.46305	8.983837	0.03126163	0.01826301	0.1528932	0.182098	0.397625	0.0813013	0.0474961	0.473577	0	0.0651328	0.2497855	0.01399178
860	-62.93224	-71.33185	8.399605	0.06514852	0.01303326	0.05796984	0.3327011	0.123642	0.138953	0.0277982	0.709607	0	0.05169777	0.2228734	0.02842515
870	-60.25312	-68.69686	8.443746	0.004400872	0.01556164	0.0736733	0.0611929	0.475837	0.0284241	0.100509	0.39523	0	0.124244	0.4610066	0.0273556
880	-56.63394	-68.02052	11.38657	0.005219433	0.004353061	0.09230647	0.1135187	0.42854	0.0242316	0.0202094	0.527019	0	0.05805473	0.1363307	0.0633689
890	-62.61495	-67.59421	4.979257	0.03092401	0.01901019	0.2667984	0.2457087	0.474358	0.0549818	0.0337994	0.436861	0	0.02138417	0.4694447	0.0606137
