Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51
390	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	10	10	20	20	10	10	14	28	10	10	20	20	28	27	15	18	14	28	7	9	14	14	7	14	7	7	7	10	7	7	7	7	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	9	10	7	8	7	7
400	20	20	20	20	20	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	10	20	10	10	10	20	10	10	10	28	10	10	20	20	28	27	14	18	28	28	7	9	14	14	14	14	8	7	8	10	10	8	5	10	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	4	10	5	4	5	5
410	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	5	10	20	20	10	10	6	28	10	10	20	20	8	27	8	18	7	28	9	9	8	8	8	8	5	9	10	10	5	5	6	6	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	5	5	6	5	6	6
420	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	9	10	10	10	10	10	20	20	20	20	10	10	20	20	5	10	20	20	10	10	8	28	10	10	10	20	14	27	7	18	14	28	9	9	7	7	8	7	9	9	9	10	9	9	5	9	4	10	10	10	10	10	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	5	5	5	5	5	5	5	5
430	20	20	20	20	20	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	20	10	10	10	20	10	10	10	20	10	10	8	28	10	10	10	20	7	27	7	18	14	28	8	9	7	7	8	7	8	8	8	10	8	8	4	8	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	5	10	5	5	4	4
440	20	20	20	20	20	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	20	20	10	10	10	20	10	10	14	28	10	10	10	20	14	27	7	18	14	28	6	9	7	7	6	7	7	6	8	10	7	7	1	7	1	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	2	10	1	1	1	1
450	20	20	20	20	20	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	10	10	20	20	10	10	3	28	10	10	20	20	28	27	14	18	28	28	7	9	14	14	7	14	4	7	5	10	4	4	3	3	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	4	10	3	4	3	3
460	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	9	10	20	20	10	10	14	28	9	10	18	20	14	27	14	18	28	28	7	9	7	14	7	7	7	7	7	9	7	7	5	7	7	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	7	9	6	7	5	5
470	20	20	10	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	5	10	20	20	10	10	14	28	10	10	20	20	28	27	14	18	28	28	7	9	14	14	14	14	6	7	7	10	7	7	4	7	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4	5	4	4	4	4
480	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	10	20	10	10	20	20	10	10	6	28	10	10	10	20	14	27	7	18	14	28	8	9	7	7	7	7	6	8	3	10	3	3	3	3	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	6	5	3	3
490	10	20	20	20	10	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	5	10	10	20	10	10	8	28	10	10	20	20	28	27	14	18	28	28	7	9	14	14	14	14	8	7	8	10	8	8	5	8	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	5	5	5	5	5
500	20	20	20	20	20	20	10	10	10	10	20	20	10	10	5	10	10	10	10	10	10	10	5	10	20	20	20	20	10	10	20	20	10	10	20	20	10	10	7	28	10	10	20	20	7	27	8	18	7	28	9	9	8	8	8	8	9	9	9	10	8	9	4	8	5	10	10	10	10	10	10	10	10	10	10	10	5	5	5	5	10	10	5	5	10	10	10	20	10	10	5	5	5	5	5	5	5	5	4	5	4	4
510	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	10	10	20	20	10	10	10	28	10	10	10	20	16	27	9	18	8	28	9	9	8	8	8	8	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10
520	20	20	20	20	10	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	10	20	10	10	20	20	10	10	10	28	10	10	20	20	14	27	7	18	14	28	9	9	7	7	8	7	9	8	10	10	10	10	5	10	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	5	5	5	5
530	20	20	20	20	10	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	20	20	10	10	20	20	10	10	5	28	5	10	10	20	28	27	14	18	28	28	7	9	14	14	14	14	6	7	5	5	5	5	5	5	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	5	5	5	5
540	20	20	20	20	20	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	20	20	10	10	20	20	10	10	7	28	10	10	20	20	14	27	14	18	28	28	7	9	14	14	14	14	7	7	7	10	7	7	2	7	6	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	3	10	2	3	2	2
550	20	20	20	20	10	20	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	10	10	10	20	5	10	20	20	10	10	4	28	10	10	20	20	14	27	14	18	28	28	7	9	14	14	14	14	5	7	5	10	5	5	4	4	3	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	5	10	5	5	3	5	2	3	2	2
560	20	20	20	20	10	20	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	20	10	10	20	20	9	10	20	20	10	10	4	28	5	10	5	20	28	27	15	18	14	28	8	9	14	14	7	14	8	7	4	5	4	4	2	4	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	2	9	2	2	2	2
