NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N8	6.8154e-05	5.85112e-08	4.383e-12	8.11463e-14	3.16708e-14	7.01617e-15	9.02705e-16	6.61768e-17	2.84863e-18	0.984655	0.0152711	6.08245e-06	2.85841e-10	6.33155e-14	2.19942e-14	4.62712e-15	5.70357e-16	4.0085e-17	1.27316e-18	2.11695e-20	2.79904e-24	3.16424e-29	8.06484e-35	6.74325e-39	2.72275e-40	8.12697e-42	1.72035e-43	2.44473e-45	2.10526e-47	9.3242e-50	3.52532e-54	1.26742e-59	1.17268e-65	1.49661e-70	4.49382e-71	2.14553e-71	8.08216e-72	2.21749e-72	4.03304e-73	4.22991e-74	
N9	2.93932e-09	2.31403e-15	1.40152e-18	7.87965e-22	2.1064e-25	2.77043e-29	1.74871e-33	4.86425e-38	1.89329e-23	0.999981	1.90728e-05	4.76238e-12	5.35283e-17	2.71776e-20	6.98202e-24	9.19092e-28	5.98451e-32	1.75097e-36	5.33724e-31	3.19907e-22	2.4057e-28	2.59282e-36	1.54183e-25	1.20382e-26	6.25666e-28	2.1566e-29	4.78222e-31	6.41865e-33	4.69806e-35	1.61376e-37	4.38148e-42	3.39305e-48	9.34468e-36	1.07978e-34	1.07496e-33	8.97073e-33	6.07007e-32	3.19018e-31	1.24618e-30	3.71076e-30	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	1.15907e-08	6.16603e-14	1.40835e-17	9.09802e-20	2.97135e-22	5.19778e-25	4.90955e-28	2.4094e-31	9.37945e-23	0.999792	0.000208434	5.60138e-10	1.49448e-15	8.03971e-18	2.50539e-20	4.32931e-23	4.13662e-26	2.07845e-29	4.97107e-33	2.18921e-35	1.49476e-38	4.92345e-43	2.16541e-41	5.20643e-42	1.0357e-42	1.60948e-43	1.88631e-44	1.57705e-45	8.5647e-47	2.60897e-48	9.34881e-52	1.65393e-56	5.12505e-61	6.62639e-62	7.78388e-63	7.3213e-64	5.32521e-65	2.85075e-66	1.05117e-67	2.58881e-69	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	8.11918e-11	2.70949e-17	2.30348e-22	3.86792e-26	4.72949e-30	3.23157e-32	2.66861e-34	1.19586e-36	2.14923e-24	0.99998	2.0121e-05	2.58108e-12	2.23899e-19	2.8383e-23	1.70146e-27	3.04776e-31	2.12312e-33	9.43634e-36	2.07103e-38	1.73418e-39	2.58247e-45	4.47289e-53	1.50678e-60	9.17541e-65	4.74694e-68	4.53383e-50	7.63804e-48	9.37698e-46	7.57631e-44	3.08945e-42	2.34677e-44	4.61847e-48	1.40048e-51	1.11789e-51	4.97683e-43	1.21199e-42	1.78581e-40	2.26479e-38	1.86276e-36	7.73985e-35	
N12	8.85109e-12	2.87246e-19	3.62022e-22	3.49994e-23	1.75447e-24	4.92281e-26	7.94795e-28	7.26462e-30	2.12583e-23	0.999997	3.2285e-06	3.36557e-14	5.44156e-22	3.3376e-23	1.56536e-24	4.19339e-26	6.53241e-28	5.7886e-30	1.01134e-28	9.4164e-19	1.41325e-24	1.46937e-32	3.62585e-36	1.45374e-36	2.05859e-37	1.35828e-38	4.65836e-40	8.51135e-42	7.83027e-44	2.97091e-46	1.49426e-53	7.98771e-63	1.17097e-71	1.04347e-73	9.8153e-76	6.5951e-78	3.07717e-80	9.45937e-83	1.72838e-85	1.49677e-88	
N13	2.30647e-14	1.13003e-22	1.94123e-24	1.53725e-26	6.09642e-29	1.28504e-31	1.45168e-34	8.46789e-38	3.3377e-24	1	5.13456e-08	4.24578e-18	5.28089e-23	3.64966e-25	1.33402e-27	2.67615e-30	2.93673e-33	1.71181e-36	3.4686e-32	4.51706e-19	1.17372e-25	8.1853e-34	3.52445e-32	5.05009e-32	4.92189e-32	3.30129e-32	1.50076e-32	4.41514e-33	7.5912e-34	5.94369e-35	1.25821e-41	1.52506e-50	4.01062e-54	1.31278e-54	3.25209e-55	5.90763e-56	7.51277e-57	6.22238e-58	2.96294e-59	6.25029e-61	
CENT26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	2.11978e-15	2.95501e-23	7.85392e-27	2.57726e-29	6.69267e-31	9.47487e-33	7.29689e-35	3.03034e-37	1.32837e-24	1	4.53554e-09	1.66435e-20	9.3068e-26	4.29052e-27	1.07501e-28	1.45639e-30	1.09298e-32	4.48035e-35	1.61351e-29	4.15417e-19	1.53378e-28	8.11561e-41	3.77441e-48	3.56321e-51	2.3586e-53	9.16704e-56	2.01461e-58	2.40229e-61	1.40312e-64	3.05664e-68	2.19671e-79	3.45111e-93	1.62736e-101	3.00886e-105	5.10924e-60	2.88765e-60	1.08816e-60	2.58063e-61	3.43855e-62	1.9433e-63	
CENT37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	3.22013e-13	5.13855e-21	7.62914e-26	3.07706e-27	6.43895e-29	7.38948e-31	4.75331e-33	1.67563e-35	4.99374e-24	0.999998	1.51752e-06	7.35494e-15	1.73296e-23	4.42416e-26	8.75581e-28	9.77542e-30	6.22633e-32	2.20024e-34	3.87243e-37	2.75402e-40	2.81114e-48	2.9011e-58	6.06909e-68	7.17549e-71	1.9991e-73	3.14988e-52	3.24214e-50	2.49008e-48	1.27619e-46	3.31378e-45	1.57343e-48	9.55316e-54	6.30924e-59	7.63072e-58	1.45508e-43	1.91159e-41	1.98049e-39	1.52893e-37	7.8752e-36	2.0936e-34	
N16	3.21532e-16	1.24326e-23	5.51594e-25	1.05039e-26	9.91317e-29	4.92466e-31	1.29695e-33	1.73575e-36	5.99657e-24	1	5.7032e-08	5.19548e-18	1.85217e-23	3.24607e-25	2.98571e-27	1.50257e-29	4.13871e-32	5.97582e-35	4.00612e-38	5.4873e-41	8.22365e-48	8.7333e-57	2.36778e-53	1.6576e-53	9.0585e-54	3.7886e-54	1.17213e-54	2.53145e-55	3.41825e-56	2.21837e-57	1.9187e-64	9.95901e-74	3.87263e-78	1.41107e-78	4.06512e-79	9.04006e-80	1.4958e-80	1.73444e-81	1.26384e-82	4.55163e-84	
CENT5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	2.60985e-19	9.40089e-28	3.271e-29	5.37583e-31	3.51401e-33	7.6885e-36	4.81865e-39	3.06095e-41	9.73195e-25	1	1.97119e-09	3.08596e-21	1.18205e-27	1.91865e-29	1.5223e-31	5.27843e-34	1.27807e-35	9.62131e-36	4.31265e-36	8.73235e-37	8.50469e-45	2.35115e-55	8.11121e-59	8.99365e-59	6.95497e-59	3.68977e-59	1.30692e-59	2.91678e-60	3.65997e-61	1.9412e-62	4.52299e-71	2.5744e-82	3.90625e-88	3.88166e-89	7.19716e-45	1.56644e-42	2.54664e-40	2.96123e-38	2.2316e-36	8.48183e-35	
