NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
N9	9.73866e-18	4.11795e-13	3.09419e-09	7.69917e-09	0.000964672	1.55977e-08	1.61405e-05	2.58129e-09	8.01897e-05	0.998939	2.08349e-17	1.47164e-26	2.05572e-36	9.6472e-59	1.68788e-68	3.5315e-78	2.07829e-88	3.21341e-97	5.86671e-108	1.7277e-117	1.72174e-141	3.81589e-165	1.44686e-189	3.24028e-213	2.23101e-238	3.66917e-262	1.97743e-286	4.737e-311	0	0	0	0	0	0	9.98799e-197	1.75158e-207	6.40228e-221	1.93578e-233	1.48162e-246	4.79976e-257	
CENT17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	1.18008e-12	3.5618e-09	2.03359e-06	3.72143e-06	0.0255106	2.14627e-06	0.000231287	3.08091e-07	0.00130419	0.972946	7.21553e-23	9.26875e-45	1.45212e-66	2.95681e-77	4.53089e-88	2.54466e-99	4.14353e-111	9.61316e-121	9.25432e-132	4.21148e-142	3.61835e-154	1.74965e-165	2.24128e-177	3.4012e-188	1.32492e-200	1.19758e-204	2.47284e-213	9.90382e-223	1.01912e-234	8.76926e-242	2.62348e-254	1.78886e-265	1.22411e-277	1.99436e-289	4.39057e-300	1.18503e-309	2.17389e-322	0	1.49407e-33	2.0577e-31	
CENT32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	1.13162e-16	3.46112e-12	1.31207e-08	3.0097e-08	0.00639706	1.45233e-08	1.22255e-05	1.52874e-09	7.50179e-05	0.993516	2.47499e-24	7.33432e-46	7.88802e-55	3.18208e-64	4.85577e-61	1.43019e-60	2.75423e-59	1.12059e-55	4.83875e-55	1.61756e-50	1.96299e-63	1.76533e-74	1.96101e-86	1.2911e-98	8.60126e-112	5.53252e-115	5.84372e-124	1.34391e-133	1.90495e-51	9.46841e-43	3.44373e-43	1.29883e-42	3.50284e-40	1.8789e-40	1.74887e-39	4.25747e-37	2.44689e-39	7.66016e-38	2.03766e-38	1.70806e-34	
N12	1.84791e-20	4.07916e-15	8.23707e-11	2.29919e-10	0.00128529	1.48714e-08	1.81844e-06	2.22894e-09	5.21009e-06	0.998708	1.81393e-16	6.66245e-26	4.71408e-24	7.84702e-40	1.41096e-33	1.60401e-31	1.33821e-28	1.13808e-25	1.15859e-24	3.71238e-18	8.48239e-41	3.76897e-62	2.06982e-83	3.91689e-106	2.49133e-129	2.22572e-151	7.12874e-174	2.44204e-196	2.77379e-134	4.11706e-138	8.06051e-149	5.31657e-160	6.5559e-168	8.74021e-180	5.17942e-192	3.71006e-203	1.04626e-216	5.14983e-226	4.21126e-238	6.78419e-245	
N13	2.82719e-28	4.66832e-21	4.69743e-15	1.76164e-14	2.71373e-05	4.65949e-11	4.2071e-08	6.98065e-12	3.49222e-08	0.999973	1.20735e-17	5.82297e-29	5.00749e-40	8.72605e-43	1.44355e-34	1.92462e-31	1.76069e-29	4.85474e-25	1.19907e-24	5.53483e-18	3.63728e-30	8.89052e-42	1.68542e-51	7.81191e-64	2.05744e-76	6.41471e-88	2.03557e-100	5.96764e-112	4.28932e-125	2.52931e-131	1.13753e-144	6.83284e-157	2.36808e-169	1.25052e-181	3.12742e-194	1.31172e-206	3.19883e-220	6.3743e-232	3.23457e-244	8.46074e-251	
CENT26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	2.36753e-27	2.37697e-24	8.24424e-18	3.85503e-17	3.04458e-06	2.23802e-12	2.04174e-09	3.22772e-13	1.26801e-09	0.999997	3.30597e-18	1.31483e-29	3.6736e-40	2.62118e-63	3.38119e-68	1.03993e-79	8.24999e-90	2.75831e-101	1.85406e-111	2.9811e-115	3.72723e-140	2.47859e-165	9.58963e-190	5.50073e-215	4.78114e-240	1.34115e-263	2.55328e-289	1.74478e-313	0	0	0	0	0	0	1.16764e-198	9.60893e-212	5.61492e-226	1.63369e-236	5.26977e-250	6.72319e-255	
CENT37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	4.19133e-21	1.5958e-15	5.0315e-11	1.45147e-10	0.00121443	3.07133e-09	1.26809e-06	4.51329e-10	3.75607e-06	0.998781	5.73961e-24	5.25195e-48	2.38815e-70	3.5227e-70	8.37643e-68	1.81427e-69	7.61236e-70	6.93722e-69	6.29361e-70	1.50243e-65	1.91465e-67	2.50643e-67	6.97271e-68	5.55337e-69	4.306e-70	1.21445e-69	1.52014e-69	2.0534e-69	3.95542e-61	6.20427e-51	4.11429e-48	2.29513e-47	1.92728e-40	9.82424e-41	2.46693e-41	1.38841e-40	1.38456e-42	1.24182e-38	4.46813e-39	4.69356e-34	
N16	1.01164e-26	9.65093e-20	4.97695e-14	1.84465e-13	0.000119625	3.67413e-10	1.52924e-07	5.41926e-11	1.04553e-07	0.99988	6.90903e-24	6.1841e-48	1.14461e-71	1.05985e-82	1.14704e-90	1.35154e-103	1.64475e-115	3.49493e-128	2.05339e-140	1.11267e-146	4.64715e-160	1.16381e-171	4.91293e-184	7.51573e-197	1.03852e-209	1.035e-216	1.49914e-226	1.17532e-235	5.04161e-249	1.10782e-251	1.82573e-265	1.42726e-277	8.14362e-290	3.61745e-302	7.95529e-313	0	0	6.88051e-39	8.98992e-39	1.22336e-33	
CENT5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	2.04127e-32	5.32798e-24	4.78651e-17	2.24414e-16	1.19581e-05	5.69345e-12	7.39625e-09	8.20998e-13	2.50846e-09	0.999988	1.12185e-24	1.5865e-49	7.12956e-74	2.07864e-77	5.21247e-82	3.58785e-93	7.09501e-105	8.50604e-115	9.79727e-129	6.82626e-134	8.58252e-148	1.54928e-159	3.04612e-170	1.41858e-183	1.05497e-196	9.76267e-209	3.40579e-222	5.9429e-234	2.93357e-248	1.32675e-253	6.57677e-268	3.37075e-280	1.31301e-292	3.73841e-305	4.61831e-318	0	0	1.52163e-40	2.62381e-40	1.82672e-34	
N18	3.11779e-36	6.86635e-27	3.54701e-19	2.0485e-18	3.08817e-06	2.04527e-12	1.31148e-09	2.92956e-13	2.20598e-10	0.999997	1.37458e-24	2.36461e-49	1.22152e-74	5.45734e-98	6.50554e-116	1.81549e-141	1.72476e-165	3.50402e-191	1.77268e-217	7.71328e-234	3.51574e-260	3.47055e-284	4.83209e-309	0	0	0	0	0	0	0	0	0	0	0	9.5925e-39	5.78131e-40	1.23772e-41	1.19147e-41	2.2388e-41	5.37295e-35	
CENT14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT34	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CENT33	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N19	4.75911e-28	9.71471e-21	1.04471e-14	3.96324e-14	5.61502e-05	4.90409e-11	5.88067e-08	7.19813e-12	4.50405e-08	0.999944	1.95985e-24	4.68855e-47	8.23475e-58	4.89967e-67	1.97717e-61	8.25285e-61	4.07943e-59	2.6363e-57	1.60916e-57	1.03875e-50	3.37542e-63	2.42166e-69	8.02243e-70	8.13274e-71	6.17788e-72	1.27145e-62	3.42316e-57	2.30528e-51	1.83024e-52	6.32311e-39	8.42315e-41	7.29075e-41	4.73329e-41	2.69039e-41	3.43556e-37	1.29746e-37	2.51797e-39	2.4243e-39	2.95794e-39	6.00239e-34	
