#Nodes with GAIN events with expectation above 0.5
CENT44: 0.956018
N7: 0.729323
Total number of gain events: 3.29549
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Total number of loss events: 0
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.906901
CENT25: 1.00611
CENT72: 1.35584
N9: 0.583884
CENT74: 1.00095
N10: 0.569778
CENT26: 1.00003
CENT41: 1
CENT59: 1.00128
CENT28: 1
CENT46: 1
N25: 0.967158
Total number of duplication events: 12.1874
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
CENT44: 0.999997
CENT75: 1.0001
CENT72: 0.911963
CENT28: 1
Total number of demi-dulications events: 4.91302
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.420641	0	0.0648631	0.390135
N3	0.0327085	0	0.00115845	0.0694959
N4	0.327949	0	0.00239452	0.273595
CENT22	0.00214591	0	5.75526e-07	0.00542698
N5	0.0015128	0	0.906901	0.00671062
N6	2.56197e-06	0	0.0337444	0.000100674
CENT44	0.956018	0	0.0586387	0.999997
CENT53	1.3692e-08	0	0.058639	3.05338e-06
CENT75	5.21126e-07	0	0.0923813	1.0001
N7	0.729323	0	0.219977	0.100247
CENT25	0.00602604	0	1.00611	0.00272483
CENT29	0.00699425	0	0.0071543	0.000646736
CENT72	0.317612	0	1.35584	0.911963
N8	0.168125	0	0.131479	0.0408111
N9	0.166541	0	0.583884	0.0636683
CENT17	8.02182e-05	0	0.000963156	1.92119e-05
CENT74	7.0166e-05	0	1.00095	3.61879e-05
N10	0.15686	0	0.569778	0.0461015
CENT32	0.00147345	0	0.0251535	0.000880597
N11	0.00123584	0	0.019117	0.00022752
N12	7.01604e-05	0	0.005092	4.99036e-05
N13	6.98595e-06	0	0.00124654	2.41094e-05
CENT26	2.58121e-08	0	1.00003	6.02913e-08
N14	3.37748e-08	0	2.40917e-05	4.21919e-08
CENT37	1.27089e-09	0	3.04458e-06	2.04398e-09
CENT41	9.51004e-10	0	1	2.67575e-09
CENT59	8.74926e-06	0	1.00128	1.43944e-05
N15	7.14339e-05	0	0.00518182	1.26279e-05
N16	5.45481e-06	0	0.0010867	1.64309e-05
CENT5	2.56933e-07	0	0.000118485	2.3559e-06
N17	1.02957e-07	0	0.000107489	5.00864e-07
N18	2.33574e-09	0	8.8691e-06	7.80342e-09
CENT14	2.23229e-10	0	3.08817e-06	1.31352e-09
CENT34	2.23229e-10	0	3.08817e-06	1.31352e-09
CENT33	2.5158e-09	0	1.18982e-05	1.27183e-07
N19	3.7238e-06	0	0.00115714	3.48903e-06
N20	4.44946e-08	0	5.19061e-05	2.35729e-07
N21	6.90799e-10	0	3.00489e-06	2.4883e-09
CENT16	7.90291e-11	0	1.14507e-06	8.81287e-09
CENT6	7.90291e-11	0	1.14507e-06	8.81287e-09
N22	7.34693e-10	0	3.91549e-06	1.45909e-08
CENT28	2.18611e-11	0	1	1
CENT36	2.22071e-11	0	2.32625e-07	3.99176e-10
N23	4.47606e-08	0	5.41423e-05	2.08119e-07
N24	4.45892e-10	0	1.62041e-06	1.41656e-09
CENT9	2.80809e-11	0	3.117e-07	7.30387e-10
CENT46	2.07847e-11	0	1	1.60251e-10
N25	4.12284e-10	0	0.967158	1.58523e-09
CENT3	2.36471e-10	0	0.0328435	4.38086e-09
CENT23	2.36471e-10	0	0.0328435	4.38086e-09
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
CENT22	0.783444	0	0.0684167	0.738653
CENT44	1.73883	0	1.0677	1.74003
CENT53	0.782813	0	1.0677	0.74004
CENT75	0.782811	0	1.0677	1.74004
CENT25	1.1887	0	1.29211	0.562603
CENT29	1.18967	0	0.293153	0.560525
CENT72	0.738253	0	1.4207	1.3021
CENT17	0.334746	0	0.716326	0.104499
CENT74	0.334736	0	1.71632	0.104516
CENT32	0.326458	0	0.726411	0.0877932
CENT26	0.326298	0	1.72674	0.0872142
CENT37	0.326298	0	0.72674	0.0872142
CENT41	0.326298	0	1.72674	0.0872142
CENT59	0.326299	0	1.72674	0.0872044
CENT5	0.326298	0	0.726761	0.0871715
CENT14	0.326297	0	0.726762	0.0871697
CENT34	0.326297	0	0.726762	0.0871697
CENT33	0.326297	0	0.726762	0.0871698
CENT16	0.326296	0	0.726769	0.0871565
CENT6	0.326296	0	0.726769	0.0871565
CENT28	0.326296	0	1.72677	1.08716
CENT36	0.326296	0	0.726769	0.0871565
CENT9	0.326296	0	0.726769	0.0871564
CENT46	0.326296	0	1.72677	0.0871564
CENT3	0.326296	0	1.72677	0.0871564
CENT23	0.326296	0	1.72677	0.0871564
